SAMPA symbols recognized in input (MAUS) for language sampa, original 
SAMPA symbol (SAMPA), IPA symbol, phonetic description, orthographic 
example words, and what acoustic model MAUS uses for this symbol 
(HMM, language SAMPA only). Special symbols '#', '<' and '>' 
denote silence intervals; the symbol '<nib>' non-human noise and the 
symbol '<usb>' human noise (e.g. for filled pauses, laughing etc.).

------------------------------------------------------------------------

MAUS	SAMPA	IPA	PHONETICS	EXAMPLES	ISO639-3	MANNER	PLACE
i	i	i	front closed unrounded vowel	English see, Spanish sí, French vite, German mi.e.ten, Italian visto	xxx	vowel	front	i.rus
I	I	ɪ	front closed unrounded vowel, but somewhat more centralised and relaxed, in Polish: mid closed unrounded	English city, German mit	xxx	vowel	front	I.gsw
1	1	ɨ	close central unrounded vowel	Russian мыс	xxx	vowel	central	P1.rus
e	e	e	front half closed unrounded vowel	US English bear, Spanish él, French année, German mehr, Italian rete, Catalan més	xxx	vowel	front	e.rus
E	E	ɛ	front half open unrounded vowel	English bed, French même, German Herr, Männer, Italian ferro, Catalan mes, Spanish perro	xxx	vowel	front	E.gsw
{	{	æ	front open unrounded vowel	English cat	xxx	vowel	front	{.gsw
y	y	y	front closed rounded vowel	French du, German Tür	xxx	vowel	front	y.gsw
2	2	ø	front half closed rounded vowel	French deux (hence '2'), German Höhle	xxx	vowel	front	P2.gsw
9	9	œ	front half open rounded vowel	French neuf (hence '9'), German Hölle	xxx	vowel	front	P9.gsw
@	@	ə	central neutral unrounded vowel	English about, winner,German bitte	xxx	vowel	central	@.gsw
6	6	ɐ	central neutral unrounded vowel	German besser	xxx	vowel	central		P6.deu
3	3	ɜ	front half open unrounded vowel, but somewhat more centralised and relaxed	English bird,nurse	xxx	vowel	central	P3:.aus
a	a	a	central open vowel	Spanish da, barra, French bateau,lac, German Haar, Italian pazzo	xxx	vowel	front	a.rus
}	}	ʉ	central closed rounded vowel	Scottish English pool, Swedish sju	xxx	vowel	central	}:.aus
8	8	ɵ	central neutral rounded vowel	Swedish kust	xxx	vowel	central	U.deu
&	&	ɶ	front open rounded vowel	American English that	xxx	vowel	front	{.aus
M	M	ɯ	back closed unrounded vowel	Japanese fuji, Vietnamese ư Korean 으	xxx	vowel	back	U.deu
7	7	ɤ	back half closed unrounded vowel	Vietnamese ơ Korean 어	xxx	vowel	back	P7.ekk
V	V	ʌ	back half open unrounded vowel	RP and US English run,enough,strut	xxx	vowel	back	V.aus
A	A	ɑ	back open unrounded vowel	English arm, US English law, standard French âme	xxx	vowel	back	A.gsw
u	u	u	back closed rounded vowel	English soon, Spanish tú, French goût, German Hut, Mutter, Italian azzurro,tutto	xxx	vowel	back	u.rus
U	U	ʊ	back closed rounded vowel somewhat more centralised and relaxed	English put, Buddhist	xxx	vowel	back	U.gsw
o	o	o	back half closed rounded vowel	US English sore, Scottish English boat, Spanish yo, French beau, German Sohle, Italian dove, Catalan ona	xxx	vowel	back	o.rus
O	O	ɔ	back half open rounded vowel	British English law, caught, Italian cosa, Catalan dona, Spanish ojo, German Wort	xxx	vowel	back	O.gsw
Q	Q	ɒ	back open rounded vowel	British English not, cough	xxx	vowel	back	Q.gsw
Y	Y	ʏ	lax [y]	German hübsch	xxx	vowel	front	Y.gsw
p	p	p	voiceless bilabial plosive	English pen	xxx	plosive	bilabial	p.rus
b	b	b	voiced bilabial plosive	English but	xxx	plosive	bilabial	b.rus
t	t	t	voiceless alveolar plosive	English two, Spanish toma	xxx	plosive	alveolar	t.rus
d	d	d	voiced alveolar plosive	English do, Italian cade	xxx	plosive	alveolar	d.rus
ts	ts	ts	voiceless alveolar affricate	Italian calza, German zeit	xxx	affricate	alveolar	ts.rus
dz	dz	dz	voiced alveolar affricate	Italian zona	xxx	affricate	alveolar	dz.kat
tS	tS	tʃ	voiceless postalveolar affricate	English chair, , Spanish mucho	xxx	affricate	post-alveolar	tS.gsw
dZ	dZ	dʒ	voiced postalveolar affricate	English gin, Italian giorno	xxx	affricate	post-alveolar	dZ.aus
pf	pf	pf	voiceless labial affricate	German Pferd	xxx	affricate	bilabial	pf.gsw
kx	kx	kx	voiceless uvular affricate	Swiss German Kuchen	xxx	affricate	uvular	x.gsw
c	c	c	voiceless palatal plosive	Hungarian tyúk 'hen'	xxx	plosive	palatal	c.hun
k	k	k	voiceless velar plosive	English skill	xxx	plosive	velar	k.rus
g	g	ɡ	voiced velar plosive	English go	xxx	plosive	velar	g.rus
q	q	q	voiceless uvular plosive	Arabic qof	xxx	plosive	uvular	k.deu
B	B	β	voiced bilabial fricative	Catalan roba 'clothes'	xxx	fricative	bilabial	v.deu
f	f	f	voiceless labiodental fricative	English fool, Spanish and Italian falso	xxx	fricative	labio-dental	f.rus
v	v	v	voiced labiodental fricative	English voice, German Welt	xxx	fricative	labio-dental	v.rus
T	T	θ	voiceless dental fricative	English thing, Castilian Spanish caza	xxx	fricative	dental	T.ekk
D	D	ð	voiced dental fricative	English this	xxx	fricative	dental		D.aus
s	s	s	voiceless alveolar fricative	English see, Spanish sí	xxx	fricative	alveolar	s.rus
z	z	z	voiced alveolar fricative	English zoo, German See	xxx	fricative	alveolar	z.rus
S	S	ʃ	voiceless postalveolar fricative	English she, French chemin	xxx	fricative	post-alveolar	S.rus
Z	Z	ʒ	voiced postalveolar fricative	French jour, English pleasure	xxx	fricative	post-alveolar	Z.rus
C	C	ç	voiceless palatal fricative	German Ich	xxx	fricative	palatal	C.gsw
x	x	x	voiceless velar fricative	Scots loch, Castilian Spanish ajo	xxx	fricative	velar	x.rus
G	G	ɣ	voiced velar fricative	Greek γάλα	xxx	fricative	velar	G.kat
h	h	h	voiceless glottal fricative	English ham, German Hand	xxx	fricative	glottal	h.gsw
m	m	m	bilabial nasal	English man	xxx	nasal	bilabial	m.rus
F	F	ɱ	labiodental nasal	Spanish infierno, Hungarian kámfor	xxx	nasal	labio-dental	n.deu
n	n	n	alveolar nasal	English, Spanish and Italian no	xxx	nasal	alveolar	n.rus
J	J	ɲ	palatal nasal	Spanish año, French oignon	xxx	nasal	palatal	J.hun
N	N	ŋ	velar nasal	English ring, Italian bianco, Tagalog ngayón	xxx	nasal	velar	N.gsw
l	l	l	alveolar lateral approximant	English left, Spanish largo	xxx	lateral-approximant	alveolar	l.rus
L	L	ʎ	palatal lateral approximant	Italian aglio, Catalan colla,	xxx	lateral-approximant	palatal	LL.ita
5	5	ɫ	velarized dental lateral	English meal Catalan alga	xxx	lateral-approximant	dental-velar	l.deu
4	4	ɾ	alveolar tap	Spanish pero, American English muddy	use	tap	alveolar	P4.use
r	r	r	alveolar trill	Spanish perro	xxx	trill	alveolar	r.rus
R	R	ʀ	uvular trill	German Reich	xxx	trill	uvular	R.ekk
P	P	ʋ	labiodental approximant	Dutch Waar	xxx	approximant	labio-dental	v.deu
w	w	w	labial-velar approximant	English we, French oui	xxx	approximant	labio-velar	w.gsw
H	H	ɥ	labial-palatal approximant	French huit	xxx	approximant	labio-palatal	v.deu
j	j	j	palatal approximant	English yes, French yeux	xxx	approximant	palatal	j.rus
?	?	ʔ	glottal stop	German Verein, Danish stød	xxx	plosive	glottal	?.gsw
W	W	ʍ	voiceless labial-velar fricative		xxx	fricative	labio-velar	W.aus
D:	D:	ðː	lengthened voiced dental fricative		fin	fricative	dental	D.use
T:	T:	θː	lengthened voiceless dental fricative		fin	fricative	dental	T.use
i:	i:	iː	lengthened front closed unrounded vowel	mieten	deu	vowel	front	i:.deu
ii	ii	iː	lengthened front closed unrounded vowel in quantity II	riisu	ekk	vowel	front	ii.ekk
ii:	ii:	iiː	lengthened front closed unrounded vowel in quantity III		ekk	vowel	front	ii:.ekk
e:	e:	eː	lengthened front half closed unrounded vowel	mehr	deu	vowel	front	e:.deu
ee	ee	eː	lengthened front half closed unrounded vowel in quantity II	keere	ekk	vowel	front	ee.ekk
ee:	ee:	eeː	lengthened front half closed unrounded vowel in quantity III		ekk	vowel	front	ee:.ekk
E:	E:	ɛː	lengthened front half open unrounded vowel	Mär	deu	vowel	front	E:.deu
y:	y:	yː	lengthened front closed rounded vowel	Tür	deu	vowel	front	y:.deu
Y:	Y:	ʏː	lengthened lax [y]	(Swiss German)	deu	vowel	front	Y.deu
2:	2:	øː	lengthened front half closed rounded vowel	Höhle	deu	vowel	front	P2:.deu
a:	a:	aː	lengthened central open vowel	Haar	deu	vowel	central	a:.deu
u:	u:	uː	lengthened back closed rounded vowel	Hut	deu	vowel	back	u:.deu
o:	o:	oː	lengthened back half closed rounded vowel	Sohle	deu	vowel	back	o:.deu
3:	3:	ɜː	lengthened front half open unrounded vowel	furs	aus	vowel	front	P3:.aus
A:	A:	ɑː	lengthened back open unrounded vowel	stars	aus	vowel	back	A:.aus
O:	O:	ɔː	lengthened back half open rounded vowel	cause	aus	vowel	back	O:.aus
6:	6:	ɐː	lengthened central neutral unrounded vowel		aus	vowel	central	P6:.aus
}:	}:	ʉː	lengthened central closed rounded vowel	pool	aus	vowel	central	}:.aus
Q:	Q:	ɒː	lengthened open back rounded	(Swiss German)	aus	vowel	back	Q.aus
9:	9:	œː	lengthened front half open rounded vowel		nld	vowel	front	P9.deu
{{	{{	æː	lengthened front open unrounded vowel in quantity II	kääru	ekk	vowel	front	{{.ekk
{:	{:	æː	lengthened front open unrounded vowel in quantity II	kääru	ekk	vowel	front	{.ekk
{{:	{{:	ææː	lengthened front open unrounded vowel in quantity III		ekk	vowel	front	{{:.ekk
yy	yy	yː	lengthened front closed rounded vowel (quantitiy II)	müüri	ekk	vowel	front	yy.ekk
yy:	yy:	yyː	lengthened front closed rounded vowel (quantitiy III)		ekk	vowel	front	yy:.ekk
22	22	øː	lengthened front half closed rounded vowel	nööri	ekk	vowel	front	P2P2.ekk
22:	22:	øøː	lengthened front half closed rounded vowel in quantity III		ekk	vowel	front	P2P2:.ekk
uu	uu	uː	lengthened back closed rounded vowel	kuuri	ekk	vowel	back	uu.ekk
